Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A800526,*John,7703 Blue Lilly Drive in Austin (TX),Stray,Normal,Cat,Intact Male,0.057692307692307696,Domestic Shorthair,Orange Tabby,Intact Male,0.09615384615384616,0.0,2019,7,2019,7,2019,6
A577358,Sally,3800 S. 2Nd St in Austin (TX),Stray,Normal,Dog,Spayed Female,6.0,German Shepherd/Rottweiler,Black/Tan,Spayed Female,6.0,0.0,2015,4,2015,4,2008,6
A706375,Susette,Springdale Rd & Touchstone St in Austin (TX),Stray,Normal,Dog,Intact Female,0.41666666666666663,Blue Lacy Mix,Fawn/White,Spayed Female,0.5,0.0,2015,6,2015,7,2014,12
A739871,Charlie,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1.0,German Shepherd Mix,Black/Brown,Neutered Male,1.0,0.0,2017,8,2017,8,2016,5
A675511,*Chris,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3.0,Domestic Shorthair Mix,Blue/White,Neutered Male,3.0,0.0,2014,3,2014,4,2011,3
A697336,Patrick,Austin (TX),Public Assist,Normal,Dog,Intact Male,2.0,Miniature Pinscher,Black/Brown,Intact Male,2.0,0.0,2015,2,2015,3,2012,8
A779613,,7008 Lunar Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,Tortie,Intact Female,1.0,0.0,2018,9,2018,9,2017,9
A655534,Dave,821 Sebastian Bend in Pflugerville (TX),Stray,Normal,Cat,Neutered Male,10.0,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,10.0,0.0,2018,10,2019,1,2008,6
A676229,Brown,8900 N Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,0.25,Golden Retriever Mix,Gold,Neutered Male,0.25,0.0,2014,4,2014,4,2013,12
A797447,,1213 Southport in Austin (TX),Stray,Normal,Cat,Intact Male,0.25,Domestic Medium Hair,Black/White,Intact Male,0.25,0.0,2019,6,2019,6,2019,3
A799145,Solo,8039 Bark K Ranch Road in Travis (TX),Stray,Normal,Dog,Intact Male,2.0,Great Pyrenees,White,Intact Male,2.0,0.0,2019,7,2019,7,2017,7
