Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,Time_In_Shelter,Neutered_Spayed_In_Shelter,percent
A814616,Unnamed,Austin (TX),Stray,Injured,Dog,Intact Female,4.0,Pure-Breed,Mixed-Color,Intact Female,4.0,1.0,2020,3,2020,3,2016,3,0.0,No,0.14641288433382138
A814613,Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,1.0,Pure-Breed,Pure-Color,Unknown,1.0,1.0,2020,3,2020,3,2019,3,0.0,No,0.14641288433382138
A814612,Named,Other (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Mixed-Breed,Mixed-Color,Spayed Female,0.08333333333333333,0.0,2020,3,2020,3,2020,1,0.0,Yes,0.33444816053511706
A814611,Named,Other (TX),Stray,Normal,Dog,Intact Male,0.08333333333333333,Mixed-Breed,Pure-Color,Neutered Male,0.08333333333333333,0.0,2020,3,2020,3,2020,1,0.0,Yes,0.33444816053511706
A814606,Unnamed,Other (TX),Stray,Normal,Dog,Intact Female,0.019230769230769232,Pure-Breed,Mixed-Color,Intact Female,0.057692307692307696,0.0,2020,3,2020,3,2020,2,0.038461538461538464,No,0.14641288433382138
A814605,Unnamed,Other (TX),Stray,Normal,Dog,Intact Male,0.019230769230769232,Pure-Breed,Mixed-Color,Intact Male,0.057692307692307696,0.0,2020,3,2020,3,2020,2,0.038461538461538464,No,0.14641288433382138
A814604,Named,Other (TX),Stray,Normal,Dog,Intact Female,1.0,Pure-Breed,Mixed-Color,Intact Female,1.0,0.0,2020,3,2020,3,2018,9,0.0,No,0.14641288433382138
A814602,Unnamed,Austin (TX),Stray,Normal,Dog,Intact Male,10.0,Mixed-Breed,Mixed-Color,Intact Male,10.0,0.0,2020,3,2020,3,2010,3,0.0,No,0.14641288433382138
A814592,Named,Austin (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Cross-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,Yes,0.33444816053511706
A814586,Named,Other (TX),Stray,Normal,Dog,Intact Female,0.25,Mixed-Breed,Mixed-Color,Spayed Female,0.3333333333333333,0.0,2020,3,2020,3,2019,11,0.08333333333333331,Yes,0.33444816053511706
A814585,Named,Other (TX),Owner Surrender,Normal,Dog,Neutered Male,2.0,Pure-Breed,Mixed-Color,Neutered Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814583,Unnamed,Other (TX),Stray,Normal,Dog,Intact Female,0.16666666666666666,Mixed-Breed,Mixed-Color,Spayed Female,0.16666666666666666,0.0,2020,3,2020,3,2019,12,0.0,Yes,0.33444816053511706
A814581,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Pure-Breed,Pure-Color,Neutered Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814579,Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Pure-Breed,Pure-Color,Neutered Male,2.0,0.0,2020,3,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814576,Named,Austin (TX),Public Assist,Normal,Dog,Intact Male,1.0,Pure-Breed,Mixed-Color,Intact Male,1.0,0.0,2020,3,2020,3,2019,1,0.0,No,0.14641288433382138
A814575,Named,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6.0,Pure-Breed,Pure-Color,Neutered Male,6.0,0.0,2020,3,2020,3,2014,3,0.0,Yes,0.33444816053511706
A814574,Named,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6.0,Mixed-Breed,Mixed-Color,Intact Female,6.0,0.0,2020,3,2020,3,2014,3,0.0,No,0.14641288433382138
A814573,Named,Austin (TX),Stray,Normal,Other,Intact Male,5.0,Pure-Breed,Pure-Color,Intact Male,5.0,0.0,2020,3,2020,3,2015,3,0.0,No,0.14641288433382138
A814571,Named,Austin (TX),Stray,Normal,Dog,Intact Female,0.25,Pure-Breed,Pure-Color,Spayed Female,0.3333333333333333,0.0,2020,3,2020,3,2019,11,0.08333333333333331,Yes,0.33444816053511706
A814570,Named,Austin (TX),Stray,Normal,Dog,Intact Male,0.6666666666666666,Pure-Breed,Mixed-Color,Neutered Male,0.6666666666666666,0.0,2020,3,2020,3,2019,7,0.0,Yes,0.33444816053511706
A814566,Unnamed,Austin (TX),Abandoned,Sick,Dog,Neutered Male,2.0,Pure-Breed,Mixed-Color,Neutered Male,2.0,1.0,2020,3,2020,3,2018,3,0.0,No,0.14641288433382138
A814563,Named,Austin (TX),Owner Surrender,Normal,Other,Unknown,0.41666666666666663,Mixed-Breed,Pure-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814562,Named,Austin (TX),Owner Surrender,Normal,Other,Unknown,0.41666666666666663,Mixed-Breed,Mixed-Color,Unknown,0.5,0.0,2020,3,2020,3,2019,9,0.08333333333333337,No,0.14641288433382138
A814561,Named,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6.0,Pure-Breed,Mixed-Color,Spayed Female,6.0,0.0,2020,3,2020,3,2014,3,0.0,No,0.14641288433382138
A814556,Named,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Pure-Breed,Mixed-Color,Spayed Female,2.0,0.0,2020,3,2020,3,2018,3,0.0,Yes,0.33444816053511706
A814555,Named,Austin (TX),Stray,Normal,Dog,Intact Male,3.0,Pure-Breed,Mixed-Color,Neutered Male,3.0,0.0,2020,3,2020,3,2017,3,0.0,Yes,0.33444816053511706
A814554,Named,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Cross-Breed,Mixed-Color,Neutered Male,1.0,0.0,2020,3,2020,3,2019,3,0.0,Yes,0.33444816053511706
A814552,Named,Austin (TX),Stray,Normal,Dog,Intact Male,3.0,Pure-Breed,Mixed-Color,Neutered Male,3.0,0.0,2020,3,2020,3,2017,3,0.0,Yes,0.33444816053511706
