Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,percent,Time_In_Shelter,Neutered_Spayed_In_Shelter
Named,Austin (TX),Public Assist,Normal,Dog,Spayed Female,4.0,Mixed-Breed,Pure-Color,Spayed Female,4.0,0.0,2015,4,2015,4,2011,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.08333333333333333,Mixed-Breed,Mixed-Color,Intact Female,0.08333333333333333,0.0,2017,6,2017,6,2017,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,2.0,Pure-Breed,Pure-Color,Intact Male,2.0,0.0,2019,10,2019,10,2017,10,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Nursing,Cat,Intact Male,0.019230769230769232,Mixed-Breed,Mixed-Color,Neutered Male,0.16666666666666666,0.0,2014,6,2014,8,2014,6,0.2849002849002849,0.1474358974358974,Yes
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,6.0,Mixed-Breed,Pure-Color,Neutered Male,6.0,0.0,2016,5,2016,5,2010,5,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Mixed-Breed,Pure-Color,Neutered Male,0.16666666666666666,0.0,2013,10,2013,11,2013,8,0.2849002849002849,0.08333333333333333,Yes
Named,Other (TX),Stray,Normal,Cat,Intact Female,0.6666666666666666,Pure-Breed,Pure-Color,Spayed Female,1.0,0.0,2019,5,2019,9,2018,8,0.2849002849002849,0.33333333333333337,Yes
Named,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2016,5,2016,6,2014,5,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.16666666666666666,Mixed-Breed,Pure-Color,Intact Male,0.16666666666666666,0.0,2018,9,2018,9,2018,7,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Cross-Breed,Mixed-Color,Neutered Male,1.0,0.0,2018,9,2018,9,2017,3,0.2849002849002849,0.0,Yes
